#Digilent WaveForms Oscilloscope XY
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-10-08 17:47:11.377

Channel 1 (V),Channel 2 (V)
-0.01052629236533996,-0.5205848242590805
-0.01018243939188598,-0.5205848242590805
-0.01018243939188582,-0.5205848242590805
-0.01052629236533996,-0.5243856267626387
-0.01052629236533996,-0.5243856267626387
-0.01087014533879395,-0.5243856267626387
-0.01121399831224794,-0.5243856267626387
-0.01121399831224825,-0.5243856267626404
-0.01121399831224825,-0.528186429266197
-0.01121399831224825,-0.528186429266197
-0.01121399831224825,-0.528186429266197
-0.01121399831224825,-0.528186429266197
-0.01087014533879411,-0.5319872317697552
-0.01087014533879411,-0.5319872317697552
-0.01087014533879411,-0.5319872317697552
-0.01087014533879411,-0.5357880342733081
-0.01052629236533996,-0.5357880342733133
-0.01052629236533996,-0.5357880342733133
-0.01052629236533996,-0.5357880342733133
-0.01087014533879364,-0.5357880342733133
-0.01087014533879411,-0.5357880342733133
-0.01121399831224809,-0.5395888367768699
-0.01155785128570208,-0.5395888367768716
-0.01155785128570239,-0.5395888367768716
-0.01155785128570239,-0.5395888367768716
-0.01121399831224841,-0.543389639280428
-0.01121399831224825,-0.5433896392804298
-0.01121399831224825,-0.5433896392804298
-0.01121399831224825,-0.5433896392804298
-0.01121399831224825,-0.5471904417839862
-0.01121399831224825,-0.547190441783988
-0.01121399831224825,-0.547190441783988
-0.01087014533879411,-0.5509912442875463
-0.01052629236533996,-0.5509912442875463
-0.01087014533879395,-0.5509912442875463
-0.01121399831224794,-0.5509912442875463
-0.01121399831224825,-0.5547920467910993
-0.01190170425915654,-0.5547920467911045
-0.01190170425915654,-0.5547920467911045
-0.01155785128570271,-0.5547920467911045
-0.01190170425915607,-0.5547920467911045
-0.01155785128570239,-0.5585928492946628
-0.01155785128570239,-0.5585928492946628
-0.01155785128570239,-0.5585928492946628
-0.01155785128570239,-0.5585928492946628
-0.01155785128570239,-0.562393651798221
-0.01155785128570239,-0.562393651798221
-0.01121399831224856,-0.562393651798221
-0.01087014533879458,-0.562393651798221
-0.01121399831224825,-0.5661944543017792
-0.01121399831224825,-0.5661944543017792
-0.01155785128570208,-0.5661944543017792
-0.01190170425915607,-0.5661944543017792
