#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-12-07 16:08:38.547

Frequency (Hz),Channel 1 (dBV),Channel 2 (dBV)
0.796,-58.80659253085969,-91.02708501448035
0.798,-60.1163260247538,-91.58115660962869
0.8,-63.90024066972348,-90.32976133027938
0.802,-64.80787207199046,-94.6141487038586
0.804,-67.32110070525631,-92.00522863091823
0.806,-68.8847478885215,-93.41953407653824
0.8080000000000001,-72.08787812211837,-90.66061440827868
0.8100000000000001,-74.08909656184909,-89.97669111464148
0.8120000000000001,-73.98171501835787,-90.34185913093918
0.8139999999999999,-70.34450369841868,-86.03308307571763
0.8159999999999999,-74.62878387488652,-83.38218267170467
0.8179999999999999,-73.68590728445847,-83.94100052888233
0.82,-70.23328518921977,-84.51774967026067
0.822,-66.01580183811944,-81.92223313349376
0.824,-69.13836949090015,-80.20228894426393
0.826,-66.70447229572926,-80.15560023807359
0.828,-64.39578428423941,-81.25882971992195
0.83,-67.67001126207282,-84.38730411262603
0.832,-68.54219822306302,-86.3940068981819
0.834,-68.83332523643341,-90.42014244366004
0.836,-69.89912096942854,-89.00556145581774
0.838,-66.17311273951353,-86.23086836699827
0.84,-62.36534817737949,-86.52686702821812
0.842,-60.06498894427182,-85.72163993904528
0.844,-62.38693457874814,-84.95363123715642
0.846,-61.20827100013109,-83.4461612079829
0.848,-62.41676844945174,-84.1163228483951
0.85,-66.70464956598921,-84.78481144259763
0.852,-70.78565147099752,-85.12441993994086
0.854,-69.55086015190921,-83.85238393006732
0.856,-71.63436546283546,-82.86635657505568
0.858,-66.64946830613206,-84.31561364913803
0.86,-64.7357428020473,-87.86186114367241
0.862,-64.49032333273937,-92.92766958325969
0.864,-62.31770949388615,-91.14460034881232
0.866,-61.07714150867147,-83.29216617804937
0.868,-61.60090746312456,-80.45753436084112
0.87,-62.037702398776,-79.09229922075812
0.872,-61.93132459912864,-77.56444665719896
0.874,-60.7810463906487,-76.29702536730096
0.876,-62.28481425414486,-76.36841598664213
0.878,-64.05886126458883,-77.79326225515574
0.88,-64.93968955559053,-78.94733860316884
0.882,-65.63974639982635,-80.52082138393666
0.884,-71.04739813670682,-85.98175976853618
0.886,-69.54936661789063,-88.83507535504712
0.888,-77.93427087175093,-91.73639866820412
0.89,-71.7265503693028,-94.08221552199834
0.892,-67.12888837975102,-122.4168384693052
0.894,-64.0264797282932,-89.80434016550078
0.896,-61.81862991894151,-89.76881600967636
0.898,-59.31380333809153,-93.11967237730796
0.9,-58.04411847491171,-92.33749895655875
0.902,-56.86126785962173,-94.66543459720187
0.904,-55.7687638306484,-86.69756745380892
0.906,-55.84295341948165,-83.30015915717894
0.908,-57.20771543747005,-81.40557650442018
0.91,-56.82298927589664,-82.90406408314981
0.912,-58.3965557729511,-90.61018894044341
0.914,-61.50983419379358,-90.88680558575611
0.916,-63.16337926380201,-86.7267962519972
0.918,-66.58626974158895,-84.3251817940729
0.92,-70.55346834997154,-82.56832764099387
0.922,-71.25895470895701,-82.21445246812294
0.924,-71.04701793882244,-82.64733002933063
0.926,-84.3195791856223,-83.28076432081942
0.928,-72.27420138724608,-88.80431996989361
0.93,-66.44402097509146,-105.5197259164158
0.9320000000000001,-62.6283143894706,-93.81592824442606
0.9340000000000001,-59.41005685783597,-94.6331250542348
