#Digilent WaveForms Oscilloscope Acquisition,,,,,
#Device Name: Discovery2,,,,,
#Serial Number: SN:210321AC1D4D,,,,,
#Date Time: 2020-10-28 18:30:21.431,,,,,
#Sample rate: 160000Hz,,,,,
#Samples: 8192,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,,,
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X,,,,,
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X,,,,,
#Wavegen Channel 1: Running,,,,,
#Mode: Simple,,,,,
#Type: Triangle,,,,,
#Frequency: 100 Hz,,,,,
#Period: 10 ms,,,,,
#Amplitude: 1 V,,,,,
#Offset: 0 V,,,,,
#Symmetry: 50 %,,,,,
#Phase: 0 ¡Æ,,,,,
#Wavegen Channel 2: Running,,,,,
#Mode: Simple,,,,,
#Type: DC,,,,,
#Offset: 3 V,,,,,
#Power Supplies: ON,,,,,
#Positive Supply: ON,,,,,
#Voltage: 4 V,,,,,
#Negative Supply: ON,,,,,
#Voltage: -4 V,,,,,
,,,,,
Time (s),Channel 1 (V),Channel 2 (V),average1,timeaverage,
-0.025470833,0.357402611,0.734539544,0.336755313,-0.025439583,-660.713522
-0.025464583,0.353617273,0.737304138,0.332625854,-0.025433333,-660.713522
-0.025458333,0.349831935,0.739723159,0.328496394,-0.025427083,-715.7729822
-0.025452083,0.346046597,0.742833327,0.324022813,-0.025420833,-715.7729822
-0.025445833,0.338475921,0.745252348,0.319549232,-0.025414583,-715.7729822
-0.025439583,0.334690584,0.747671368,0.315075651,-0.025408333,-660.713522
-0.025433333,0.334690584,0.750435962,0.310946191,-0.025402083,-715.7729822
-0.025427083,0.327119908,0.752509408,0.30647261,-0.025395833,-715.7729822
-0.025420833,0.327119908,0.755274003,0.301999029,-0.025389583,-825.8919025
-0.025414583,0.319549232,0.758038597,0.296837205,-0.025383333,-715.7729822
-0.025408333,0.315763894,0.759766469,0.292363624,-0.025377083,-715.7729822
-0.025402083,0.311978556,0.762531063,0.287890042,-0.025370833,-770.8324423
-0.025395833,0.308193218,0.764604509,0.28307234,-0.025364583,-770.8324423
-0.025389583,0.300622543,0.766677955,0.278254637,-0.025358333,-770.8324423
-0.025383333,0.296837205,0.770133698,0.273436934,-0.025352083,-770.8324423
-0.025377083,0.289266529,0.772207144,0.268619231,-0.025345833,-770.8324423
-0.025370833,0.289266529,0.774971739,0.263801529,-0.025339583,-770.8324423
-0.025364583,0.285481191,0.777736333,0.258983826,-0.025333333,-825.8919025
-0.025358333,0.277910515,0.779809779,0.253822001,-0.025327083,-770.8324423
-0.025352083,0.270339839,0.782574374,0.249004299,-0.025320833,-770.8324423
-0.025345833,0.270339839,0.784993394,0.244186596,-0.025314583,-825.8919025
-0.025339583,0.266554502,0.78706684,0.239024771,-0.025308333,-825.8919025
-0.025333333,0.258983826,0.790177009,0.233862947,-0.025302083,-770.8324423
-0.025327083,0.255198488,0.792596029,0.229045244,-0.025295833,-770.8324423
-0.025320833,0.247627812,0.794669475,0.224227542,-0.025289583,-770.8324423
-0.025314583,0.243842474,0.797434069,0.219409839,-0.025283333,-770.8324423
-0.025308333,0.236271798,0.799507515,0.214592136,-0.025277083,-770.8324423
-0.025302083,0.236271798,0.80227211,0.209774433,-0.025270833,-825.8919025
-0.025295833,0.228701123,0.805036704,0.204612609,-0.025264583,-770.8324423
-0.025289583,0.224915785,0.80711015,0.199794906,-0.025258333,-770.8324423
-0.025283333,0.217345109,0.80952917,0.194977203,-0.025252083,-770.8324423
-0.025277083,0.213559771,0.812984913,0.190159501,-0.025245833,-770.8324423
-0.025270833,0.209774433,0.814712785,0.185341798,-0.025239583,-770.8324423
-0.025264583,0.205989095,0.817131805,0.180524095,-0.025233333,-715.7729822
-0.025258333,0.202203757,0.820241974,0.176050514,-0.025227083,-880.9513627
-0.025252083,0.194633082,0.821969845,0.170544568,-0.025220833,-770.8324423
-0.025245833,0.190847744,0.82473444,0.165726865,-0.025214583,-825.8919025
-0.025239583,0.183277068,0.82715346,0.160565041,-0.025208333,-770.8324423
-0.025233333,0.17949173,0.829918055,0.155747338,-0.025202083,-770.8324423
-0.025227083,0.175706392,0.833028224,0.150929635,-0.025195833,-825.8919025
-0.025220833,0.171921054,0.835447244,0.145767811,-0.025189583,-825.8919025
